buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,115.03400586044701,19.582090125308497,5000,5000.0,51.06707167625427
6000.0,6.0,1000.0,149.65462754620117,49.30199708925368,6000,6000.0,71.35022568702698
7000.0,7.0,1000.0,153.10917668669194,49.0571246706633,7000,7000.0,91.73462462425232
8000.0,8.0,1000.0,80.96019331358839,47.57168785544046,8000,8000.0,112.75553107261658
9000.0,9.0,1000.0,144.02004565433717,49.53393586278455,9000,9000.0,132.9437108039856
10000.0,10.0,1000.0,330.4636406654938,49.008626984715754,10000,10000.0,153.34828162193298
11000.0,11.0,1000.0,121.78657399893615,25.753041030118695,11000,11000.0,192.17864727973938
12000.0,12.0,1000.0,142.47954330953178,48.97166090224972,12000,12000.0,212.5986204147339
13000.0,13.0,1000.0,130.83772883716313,49.925170640590046,13000,13000.0,232.6285970211029
14000.0,14.0,1000.0,132.4758539409324,50.886764384981696,14000,14000.0,252.28007245063782
15000.0,15.0,1000.0,144.7926343230386,50.786216326723164,15000,15000.0,271.970454454422
16000.0,16.0,1000.0,104.75341242029977,50.80846963528462,16000,16000.0,291.6522123813629
17000.0,17.0,1000.0,183.2239848823303,50.735128239648894,17000,17000.0,311.36242175102234
18000.0,18.0,1000.0,103.70464620675057,50.87048198192363,18000,18000.0,331.0201871395111
19000.0,19.0,1000.0,371.56062631010593,50.79467191127441,19000,19000.0,350.7072913646698
20000.0,20.0,1000.0,180.61657914071185,50.851175338390405,20000,20000.0,370.37252020835876
21000.0,21.0,1000.0,112.2936489092722,27.723116426951027,21000,21000.0,406.443500995636
22000.0,22.0,1000.0,168.3157921266268,50.84581840668998,22000,22000.0,426.11080169677734
23000.0,23.0,1000.0,192.24228014483603,50.90559267486418,23000,23000.0,445.75500869750977
24000.0,24.0,1000.0,175.1526377643889,50.97929301682924,24000,24000.0,465.3708162307739
25000.0,25.0,1000.0,174.413116874008,50.82709034919618,25000,25000.0,485.0453636646271
26000.0,26.0,1000.0,152.72712839644214,50.86383549698357,26000,26000.0,504.7056977748871
27000.0,27.0,1000.0,100.38538633380116,50.866560135991364,27000,27000.0,524.3649787902832
28000.0,28.0,1000.0,170.9786795486298,50.89353975425007,28000,28000.0,544.0138380527496
29000.0,29.0,1000.0,255.46898763421754,50.854320364598806,29000,29000.0,563.6778507232666
30000.0,30.0,1000.0,180.34328843766605,50.79319437965236,30000,30000.0,583.3655276298523
31000.0,31.0,1000.0,261.67362194327063,23.482987861602915,31000,31000.0,625.9495465755463
32000.0,32.0,1000.0,253.93125119615976,49.7102342801297,32000,32000.0,646.0661284923553
33000.0,33.0,1000.0,203.42631419910734,49.393979562313916,33000,33000.0,666.3115108013153
34000.0,34.0,1000.0,212.23735722309695,49.65558874817247,34000,34000.0,686.4502308368683
35000.0,35.0,1000.0,180.46180490584544,49.829339752908346,35000,35000.0,706.5187287330627
36000.0,36.0,1000.0,180.49529300653404,49.7943023467313,36000,36000.0,726.6013476848602
37000.0,37.0,1000.0,144.23233982332223,49.92119176790418,37000,37000.0,746.6329207420349
