buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,20.504404954784203,27.92763750476455,5000,5000.0,35.80682396888733
6000.0,6.0,1000.0,54.38145047569256,132.76235099701128,6000,6000.0,43.33907985687256
7000.0,7.0,1000.0,52.79529935574505,123.64819702657958,7000,7000.0,51.4265410900116
8000.0,8.0,1000.0,52.657861672699795,101.62230159526243,8000,8000.0,61.26690077781677
9000.0,9.0,1000.0,49.600368752745396,89.68879047929047,9000,9000.0,72.41656613349915
10000.0,10.0,1000.0,64.92301227059393,92.96579441415369,10000,10000.0,83.17321062088013
11000.0,11.0,1000.0,58.33294643795536,35.233666871898684,11000,11000.0,111.55515575408936
12000.0,12.0,1000.0,81.50174093230684,90.45452975054691,12000,12000.0,122.61043405532837
13000.0,13.0,1000.0,71.46396017624227,113.83584752367304,13000,13000.0,131.39501309394836
14000.0,14.0,1000.0,75.53751004340172,125.76663284846924,14000,14000.0,139.34624767303467
15000.0,15.0,1000.0,75.73535882632211,125.45893584553673,15000,15000.0,147.31698322296143
16000.0,16.0,1000.0,134.13719740735647,128.6657336571851,16000,16000.0,155.08906030654907
17000.0,17.0,1000.0,142.1222465894267,127.44515386337295,17000,17000.0,162.93557286262512
18000.0,18.0,1000.0,150.9320974365433,124.09790336787772,18000,18000.0,170.99372673034668
19000.0,19.0,1000.0,144.89727900226936,126.55638512607395,19000,19000.0,178.89534306526184
20000.0,20.0,1000.0,159.8331215158827,126.4303506825463,20000,20000.0,186.80483627319336
21000.0,21.0,1000.0,107.00718972389693,41.77002147016692,21000,21000.0,210.74545121192932
22000.0,22.0,1000.0,110.69660324844003,127.21837261701984,22000,22000.0,218.60595107078552
23000.0,23.0,1000.0,85.52995632205126,126.74265699048257,23000,23000.0,226.4959545135498
24000.0,24.0,1000.0,103.35556219760446,128.19176734140956,24000,24000.0,234.29676747322083
25000.0,25.0,1000.0,174.15036620128086,126.16344935588963,25000,25000.0,242.22299337387085
26000.0,26.0,1000.0,189.18248881731154,122.08581981962996,26000,26000.0,250.4139528274536
27000.0,27.0,1000.0,271.2497911606795,125.49489697059204,27000,27000.0,258.3824043273926
28000.0,28.0,1000.0,326.4822442272293,123.89686171377055,28000,28000.0,266.4536337852478
29000.0,29.0,1000.0,259.6409625171141,127.76119635758943,29000,29000.0,274.2807364463806
30000.0,30.0,1000.0,315.55952883377216,124.89283339800848,30000,30000.0,282.2876009941101
31000.0,31.0,1000.0,407.6956030018598,41.5854483926892,31000,31000.0,306.3344740867615
32000.0,32.0,1000.0,390.92786033072184,129.8600928577884,32000,32000.0,314.0350692272186
33000.0,33.0,1000.0,349.5309195820954,128.51124083929713,33000,33000.0,321.8164896965027
34000.0,34.0,1000.0,539.0122035701887,127.15364519046487,34000,34000.0,329.68099093437195
35000.0,35.0,1000.0,482.375700229761,125.8915206500406,35000,35000.0,337.62433767318726
36000.0,36.0,1000.0,457.2641169190111,126.82516809088708,36000,36000.0,345.5092079639435
37000.0,37.0,1000.0,490.6434643300049,127.72700535440062,37000,37000.0,353.33840584754944
38000.0,38.0,1000.0,490.5005910672246,124.64356278112233,38000,38000.0,361.36128306388855
39000.0,39.0,1000.0,554.0053441632548,123.02576510745304,39000,39000.0,369.489661693573
40000.0,40.0,1000.0,510.07911063497784,125.2034819567665,40000,40000.0,377.47666001319885
41000.0,41.0,1000.0,478.8719051664397,41.298795719285394,41000,41000.0,401.6904411315918
42000.0,42.0,1000.0,344.1949191992175,122.69162881048148,42000,42000.0,409.84095644950867
43000.0,43.0,1000.0,525.3720348592603,126.12795749224553,43000,43000.0,417.7694127559662
44000.0,44.0,1000.0,612.9647343265709,128.4483107897979,44000,44000.0,425.5546455383301
45000.0,45.0,1000.0,629.3476770932839,121.68079771328628,45000,45000.0,433.7728691101074
46000.0,46.0,1000.0,572.245531031016,125.85783194720211,46000,46000.0,441.71834206581116
47000.0,47.0,1000.0,581.494463701673,124.14354855513776,47000,47000.0,449.7735331058502
48000.0,48.0,1000.0,648.9818199977075,127.27651875338499,48000,48000.0,457.630441904068
49000.0,49.0,1000.0,623.4204019083638,126.44055364287298,49000,49000.0,465.53929686546326
50000.0,50.0,1000.0,588.3097760487989,95.55469363601517,50000,50000.0,476.0045075416565
51000.0,51.0,1000.0,646.2887948291544,37.25559670586333,51000,51000.0,502.84611225128174
52000.0,52.0,1000.0,637.5296226091272,129.19993334086996,52000,52000.0,510.58605432510376
53000.0,53.0,1000.0,567.4373002438726,123.26920566367133,53000,53000.0,518.6983804702759
54000.0,54.0,1000.0,600.8773554897859,124.06970366143861,54000,54000.0,526.7583658695221
55000.0,55.0,1000.0,623.2669469294423,126.22634040836769,55000,55000.0,534.6806426048279
56000.0,56.0,1000.0,632.4176537331239,123.64970978326726,56000,56000.0,542.7680048942566
57000.0,57.0,1000.0,683.5143912159739,121.19751222715958,57000,57000.0,551.01899933815
58000.0,58.0,1000.0,679.1530992319055,126.56270528361902,58000,58000.0,558.9202210903168
59000.0,59.0,1000.0,730.3460561229164,123.49443546847019,59000,59000.0,567.0177519321442
60000.0,60.0,1000.0,730.7276300026886,124.45463799974529,60000,60000.0,575.0528080463409
61000.0,61.0,1000.0,738.5931499056385,41.95768449061776,61000,61000.0,598.8863444328308
62000.0,62.0,1000.0,700.9026834815252,126.01038720209408,62000,62000.0,606.8221981525421
63000.0,63.0,1000.0,713.8530484785342,127.60495347578883,63000,63000.0,614.6588845252991
64000.0,64.0,1000.0,700.0200847367742,124.47177151298123,64000,64000.0,622.6928346157074
