buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,30.363187306405127,19.752950787003847,5000,5000.0,50.62534761428833
6000.0,6.0,1000.0,35.387787975782004,76.38197419179333,6000,6000.0,63.71744179725647
7000.0,7.0,1000.0,47.2346531912646,75.15337236438451,7000,7000.0,77.02356457710266
8000.0,8.0,1000.0,58.44626473715643,72.75801893892393,8000,8000.0,90.76775407791138
9000.0,9.0,1000.0,32.64334557117929,67.26920796040174,9000,9000.0,105.6333966255188
10000.0,10.0,1000.0,44.32053108838103,75.63107111061191,10000,10000.0,118.8554756641388
11000.0,11.0,1000.0,42.58535325445848,27.915887102357974,11000,11000.0,154.6773715019226
12000.0,12.0,1000.0,44.3255981431337,75.61252568255414,12000,12000.0,167.90269351005554
13000.0,13.0,1000.0,57.353360461241955,75.61802482619076,13000,13000.0,181.12705373764038
14000.0,14.0,1000.0,63.94142641203359,74.96865182638032,14000,14000.0,194.46596240997314
15000.0,15.0,1000.0,53.912344474810084,75.40163877916085,15000,15000.0,207.7282736301422
16000.0,16.0,1000.0,68.60798545525026,73.99540697188036,16000,16000.0,221.24262595176697
17000.0,17.0,1000.0,60.57075230762426,75.32729754099702,17000,17000.0,234.51802587509155
18000.0,18.0,1000.0,54.83493221671989,74.9710357330852,18000,18000.0,247.8565104007721
19000.0,19.0,1000.0,53.61268898554505,75.53050163942792,19000,19000.0,261.0961947441101
20000.0,20.0,1000.0,53.003741143618626,76.72928064890777,20000,20000.0,274.12902903556824
21000.0,21.0,1000.0,91.9523881391517,26.469279975940324,21000,21000.0,311.9086740016937
22000.0,22.0,1000.0,86.72944600967018,75.20009862439693,22000,22000.0,325.20652890205383
23000.0,23.0,1000.0,70.01894729061259,75.15296973459505,23000,23000.0,338.5127229690552
24000.0,24.0,1000.0,76.70530262277286,72.44424718990582,24000,24000.0,352.3164415359497
25000.0,25.0,1000.0,94.94064254021517,75.42409265449737,25000,25000.0,365.57480454444885
26000.0,26.0,1000.0,91.46627827566007,72.05459576479215,26000,26000.0,379.45316982269287
27000.0,27.0,1000.0,60.57291003736657,76.86360716827818,27000,27000.0,392.46322798728943
28000.0,28.0,1000.0,111.15456773397366,74.76092186547314,28000,28000.0,405.8392000198364
29000.0,29.0,1000.0,135.90306475321114,75.0277702479175,29000,29000.0,419.1675982475281
30000.0,30.0,1000.0,112.09058088993108,76.56107887295,30000,30000.0,432.22906517982483
31000.0,31.0,1000.0,106.82847549368016,26.313975537141832,31000,31000.0,470.2316846847534
32000.0,32.0,1000.0,141.0948548338997,76.27919384082698,32000,32000.0,483.3414194583893
33000.0,33.0,1000.0,128.70163275992763,76.86647091877877,33000,33000.0,496.3509929180145
34000.0,34.0,1000.0,127.35063140181474,76.6099195860544,34000,34000.0,509.4041328430176
35000.0,35.0,1000.0,147.99220727185403,76.70320948211183,35000,35000.0,522.4413969516754
36000.0,36.0,1000.0,159.19510694386784,72.45697474979711,36000,36000.0,536.2426908016205
37000.0,37.0,1000.0,96.14409588560653,75.92136680413218,37000,37000.0,549.4142134189606
38000.0,38.0,1000.0,139.89754000673122,76.36739529913184,38000,38000.0,562.5088069438934
39000.0,39.0,1000.0,169.94685729422483,76.11688579354804,39000,39000.0,575.646496295929
40000.0,40.0,1000.0,181.07367913712042,76.33321521409087,40000,40000.0,588.7469532489777
41000.0,41.0,1000.0,186.46296925875265,29.277893073715553,41000,41000.0,622.9024164676666
42000.0,42.0,1000.0,184.51253896528632,75.98872114888938,42000,42000.0,636.0622642040253
43000.0,43.0,1000.0,206.97775561714764,76.3693211239402,43000,43000.0,649.1565275192261
44000.0,44.0,1000.0,196.24276645930527,75.63657158825252,44000,44000.0,662.3776450157166
45000.0,45.0,1000.0,184.59723504727793,75.95371548731958,45000,45000.0,675.543557882309
46000.0,46.0,1000.0,192.73298722088845,76.33437660946439,46000,46000.0,688.6438155174255
47000.0,47.0,1000.0,217.80176346773763,75.29684536265549,47000,47000.0,701.9245843887329
48000.0,48.0,1000.0,177.16829710937,76.14905985875392,48000,48000.0,715.0567228794098
49000.0,49.0,1000.0,207.12388141760582,76.18980218008747,49000,49000.0,728.1818389892578
50000.0,50.0,1000.0,205.8156399169001,76.44314014917725,50000,50000.0,741.2634575366974
51000.0,51.0,1000.0,117.18990452991316,29.096688502678195,51000,51000.0,775.6316297054291
52000.0,52.0,1000.0,239.99206962941514,76.19523335442388,52000,52000.0,788.7558102607727
53000.0,53.0,1000.0,254.79538189127632,76.60203675422231,53000,53000.0,801.8102934360504
54000.0,54.0,1000.0,213.3285614977389,76.65326215123831,54000,54000.0,814.8560526371002
55000.0,55.0,1000.0,226.63730799933802,76.76670225547798,55000,55000.0,827.882533788681
56000.0,56.0,1000.0,232.9425584597575,76.63028337922292,56000,56000.0,840.9322049617767
57000.0,57.0,1000.0,136.44516606802404,76.72037825782807,57000,57000.0,853.9665515422821
58000.0,58.0,1000.0,241.55199329433245,77.01065497570282,58000,58000.0,866.9517676830292
59000.0,59.0,1000.0,232.69568532526947,76.82832434860613,59000,59000.0,879.967800617218
60000.0,60.0,1000.0,238.1381657427196,76.51431309565766,60000,60000.0,893.0372507572174
61000.0,61.0,1000.0,256.57705223900007,28.662827251485552,61000,61000.0,927.9256443977356
62000.0,62.0,1000.0,270.8056459938572,76.56160014924231,62000,62000.0,940.9870223999023
63000.0,63.0,1000.0,303.0089562279795,76.78386995095232,63000,63000.0,954.0105910301208
64000.0,64.0,1000.0,241.823612568802,76.6355212930724,64000,64000.0,967.0593702793121
