buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,22.594716509790338,27.607752756147,5000,5000.0,36.22170948982239
6000.0,6.0,1000.0,44.275196944784604,127.54332266352947,6000,6000.0,44.062182664871216
7000.0,7.0,1000.0,41.7827579582011,119.33230759750008,7000,7000.0,52.442142963409424
8000.0,8.0,1000.0,26.65518686774984,115.41619050161128,8000,8000.0,61.106438636779785
9000.0,9.0,1000.0,75.83199353385464,118.8833911588913,9000,9000.0,69.51804256439209
10000.0,10.0,1000.0,80.95324384180464,125.75526393349186,10000,10000.0,77.46999597549438
11000.0,11.0,1000.0,44.794666743315396,37.42560482496544,11000,11000.0,104.1896710395813
12000.0,12.0,1000.0,26.64650001236145,126.78369216805015,12000,12000.0,112.07712078094482
13000.0,13.0,1000.0,60.426473721090666,125.45099564500647,13000,13000.0,120.04836082458496
14000.0,14.0,1000.0,48.9438400209243,126.68593498407782,14000,14000.0,127.94189691543579
15000.0,15.0,1000.0,58.50090391017289,128.57329454016016,15000,15000.0,135.71956181526184
16000.0,16.0,1000.0,125.95146055992504,124.61911327299995,16000,16000.0,143.74401307106018
17000.0,17.0,1000.0,161.21428680518264,126.21008387607911,17000,17000.0,151.66731023788452
18000.0,18.0,1000.0,95.82856912078061,121.27528051405658,18000,18000.0,159.91301369667053
19000.0,19.0,1000.0,137.73404460800162,103.61068682829618,19000,19000.0,169.56452775001526
20000.0,20.0,1000.0,124.01414708525995,90.51493785307223,20000,20000.0,180.6124279499054
21000.0,21.0,1000.0,140.72246479241122,33.89236846776896,21000,21000.0,210.11759519577026
22000.0,22.0,1000.0,124.89165928891185,106.11871480676358,22000,22000.0,219.54100370407104
23000.0,23.0,1000.0,142.54485722681898,99.92404274333035,23000,23000.0,229.54860520362854
24000.0,24.0,1000.0,141.027468882611,121.07938984682893,24000,24000.0,237.8076491355896
25000.0,25.0,1000.0,151.47557907831865,92.95362836606147,25000,25000.0,248.56570148468018
26000.0,26.0,1000.0,146.19566618024157,88.85047971756661,26000,26000.0,259.8205647468567
27000.0,27.0,1000.0,127.8468743714395,88.53915618969447,27000,27000.0,271.1150026321411
28000.0,28.0,1000.0,153.06481616013096,97.22941518612926,28000,28000.0,281.3999559879303
29000.0,29.0,1000.0,151.09411335435544,123.65098927625046,29000,29000.0,289.48723459243774
